dataset,method,eps,min_samples,top_k,n_clusters_found,nmae,nrmse,entropy
ml-small,density,25.0,5,10,2.2,0.15163195618477393,0.19976061370082615,0.660669453092054
ml-small,density,27.63157894736842,5,10,2.0,0.1520138104394743,0.20007290560227284,0.6001576204672184
ml-small,density,30.263157894736842,5,10,2.0,0.1518143946500452,0.19997491736782264,0.5404529745252777
ml-small,density,32.89473684210526,5,10,2.0,0.1520755614745914,0.20013322090348917,0.4770973171603628
ml-small,density,35.526315789473685,5,10,2.0,0.15231118639672164,0.20020731465423874,0.43367430074560254
ml-small,density,38.15789473684211,5,10,2.2,0.15273995093473391,0.20056887974485216,0.3427274962231862
ml-small,density,40.78947368421053,5,10,2.2,0.15278825034392726,0.20058710343466152,0.2919595561523912
ml-small,density,43.421052631578945,5,10,2.2,0.15274251593068192,0.20060295030846093,0.2578323380333269
ml-small,density,46.05263157894737,5,10,2.2,0.1527181119983993,0.2005725057701441,0.23400598678714593
ml-small,density,48.684210526315795,5,10,2.2,0.1526207657427558,0.2007483320395546,0.18885544234227084
ml-small,density,51.31578947368421,5,10,2.2,0.1526521357808945,0.2007837277450891,0.1586907076254867
ml-small,density,53.94736842105263,5,10,2.0,0.15216513919597616,0.20003101136669446,0.12441577750670071
ml-small,density,56.578947368421055,5,10,2.0,0.1518877285284458,0.19966262672183638,0.10885819838764091
ml-small,density,59.21052631578948,5,10,2.0,0.1515817969205477,0.19923920397025724,0.08613539913096588
ml-small,density,61.8421052631579,5,10,2.0,0.15129805732853602,0.19877889866678583,0.0730334113320154
ml-small,density,64.47368421052632,5,10,2.0,0.15105805782011772,0.19844307966621932,0.06626640959310401
ml-small,density,67.10526315789474,5,10,2.0,0.15081348335265735,0.19806324217288143,0.0593073562630835
ml-small,density,69.73684210526316,5,10,2.0,0.15053701414898893,0.1976986182014539,0.05210770708875696
ml-small,density,72.36842105263159,5,10,2.0,0.1502488114957473,0.19741135637856813,0.0447877599922774
ml-small,density,75.0,5,10,2.0,0.1502488114957473,0.19741135637856813,0.0447877599922774
ml-1m,density,20.0,5,10,2.0,0.17760769245010852,0.22838603537429641,0.9578139391012119
ml-1m,density,22.105263157894736,5,10,2.2,0.17770775949381082,0.22840112817185662,0.8367900593342735
ml-1m,density,24.210526315789473,5,10,2.6,0.17775035972665548,0.2283697765627808,0.657307948895209
ml-1m,density,26.315789473684212,5,10,2.6,0.17787868562844666,0.22838237186870733,0.6049218903084959
ml-1m,density,28.421052631578945,5,10,2.4,0.17793552199948487,0.2283552119481663,0.5981137840719033
ml-1m,density,30.526315789473685,5,10,2.2,0.1778998606293007,0.2282224941531154,0.5840387574109295
ml-1m,density,32.631578947368425,5,10,2.0,0.17789565948466018,0.22815134793247424,0.5608753142996374
ml-1m,density,34.73684210526316,5,10,2.0,0.17790141260632183,0.228071751461913,0.4943900432713907
ml-1m,density,36.84210526315789,5,10,2.0,0.17781787642196564,0.22796832882066745,0.4347991263028418
ml-1m,density,38.94736842105263,5,10,2.0,0.17773975613439688,0.22790583278753446,0.38310829536750174
ml-1m,density,41.05263157894737,5,10,2.0,0.17751959247978233,0.22765139155472386,0.336703083106993
ml-1m,density,43.1578947368421,5,10,2.0,0.1773467643249763,0.2275077341115702,0.28680857273943294
ml-1m,density,45.26315789473684,5,10,2.0,0.17725194852526527,0.22743621444090242,0.24757817017820805
ml-1m,density,47.368421052631575,5,10,2.0,0.17720022053500756,0.2274625627379821,0.21505457994652571
ml-1m,density,49.473684210526315,5,10,2.0,0.17713900417975495,0.22739639919404392,0.1826283950862448
ml-1m,density,51.578947368421055,5,10,2.0,0.17701864243865262,0.22726956712455365,0.15389457680072732
ml-1m,density,53.68421052631579,5,10,2.0,0.1769199210299942,0.2272185998786717,0.12667668213606834
ml-1m,density,55.78947368421053,5,10,2.0,0.1769134469279985,0.22725610336853555,0.11034236423775332
ml-1m,density,57.89473684210526,5,10,2.0,0.17688588015877668,0.22723911570500316,0.09662656224338141
ml-1m,density,60.0,5,10,2.0,0.1768723159085513,0.22722505803331275,0.0829722427357937
books,density,5.0,5,10,8.4,0.14476288878718346,0.19526180426575293,0.31597033413235703
books,density,5.526315789473684,5,10,7.2,0.14526013706468127,0.19577530189127246,0.27048448410363946
books,density,6.052631578947368,5,10,6.8,0.1459976936007576,0.1967238486408917,0.18658705784095017
books,density,6.578947368421053,5,10,6.0,0.14645971558059168,0.19736000433457807,0.16734770543615146
books,density,7.105263157894736,5,10,5.4,0.14672039523643998,0.1977084161002134,0.14535976045015814
books,density,7.631578947368421,5,10,5.4,0.1467497036714338,0.19778911702971977,0.12382105956629715
books,density,8.157894736842106,5,10,5.4,0.1466209073833617,0.19793881510329608,0.10074687162358495
books,density,8.68421052631579,5,10,5.4,0.14638526696696602,0.1976521029499299,0.08794314415749359
books,density,9.210526315789473,5,10,5.6,0.14639552802493594,0.19773625805441583,0.0749485273949456
books,density,9.736842105263158,5,10,5.4,0.14624899782274378,0.19782452183407928,0.06672352830819281
books,density,10.263157894736842,5,10,5.2,0.14611757825304122,0.19757220747096058,0.05884827084124824
books,density,10.789473684210526,5,10,5.0,0.1458393916947107,0.1972109073289309,0.05256076562682739
books,density,11.31578947368421,5,10,5.0,0.14570603454446185,0.19702238778711148,0.048851989908068556
books,density,11.842105263157894,5,10,4.6,0.14540957651612874,0.1966680802831799,0.047521955808823964
books,density,12.368421052631579,5,10,4.2,0.14522805372439093,0.19640670958081233,0.04159421245794801
books,density,12.894736842105264,5,10,3.8,0.1451068248465584,0.19621233383127207,0.0345848634604529
books,density,13.421052631578947,5,10,3.8,0.14508907451042724,0.19622417939415313,0.03166445811013309
books,density,13.947368421052632,5,10,3.8,0.1451086815390331,0.19621287648514152,0.029864978407078645
books,density,14.473684210526315,5,10,3.8,0.14507137871597459,0.19614538489984493,0.027596499837419637
books,density,15.0,5,10,3.8,0.1450783555949303,0.19614167235603314,0.026998585450087726
jester,density,5.0,5,10,2.0,0.16712213294773687,0.2157777253750997,0.9794840311866029
jester,density,5.526315789473684,5,10,2.0,0.1670548781829929,0.21579389204914118,0.9998708614901235
jester,density,6.052631578947368,5,10,2.0,0.16696792880211114,0.21575300327664082,0.9885793876735646
jester,density,6.578947368421053,5,10,2.0,0.16702231141965598,0.21589020640493856,0.9571085988615688
jester,density,7.105263157894736,5,10,2.0,0.1670003243246255,0.2159544314796639,0.9085879282116485
