dataset,method,n_clusters,top_k,nmae,nrmse,entropy
ml-small,hac,2,10,0.14855881097887225,0.1957615435096579,0.03418477952265305
ml-small,hac,7,10,0.1580860356124913,0.20718347142882138,0.5751938557177371
ml-small,hac,12,10,0.1603766102575444,0.21030327404217625,0.5613644519784124
ml-small,hac,17,10,0.1614509284750618,0.21124390221439687,0.5372725839879603
ml-small,hac,22,10,0.16203745809541353,0.21178065138595148,0.5234977141394038
ml-small,hac,27,10,0.16343521281639045,0.21316708937382023,0.5352303485405161
ml-small,hac,32,10,0.16353748100529936,0.2130771794952533,0.5215952068883067
ml-small,hac,37,10,0.16464952873494448,0.21424437825951728,0.5573856264646228
ml-small,hac,42,10,0.16570878384286875,0.21518229716016163,0.5804634406262908
ml-small,hac,47,10,0.16636777129560082,0.21571203530226835,0.5856164385704413
ml-small,hac,52,10,0.1665203127316678,0.2157237980127269,0.5835994924379733
ml-small,hac,57,10,0.16653488353747908,0.21563233740410032,0.5810787367701339
ml-small,hac,62,10,0.166738074330083,0.21584994523077722,0.5895065751922253
ml-small,hac,67,10,0.16702274293340708,0.21602434706923157,0.5904080813315989
ml-small,hac,72,10,0.16708900118645342,0.2159681665967755,0.5910657645951709
ml-small,hac,77,10,0.16700888493425442,0.21579135729346582,0.591834353721785
ml-small,hac,82,10,0.16719597931436753,0.21597490743813194,0.6085061033592915
ml-small,hac,87,10,0.1672681100624074,0.21600218314954728,0.6189489173495362
ml-small,hac,92,10,0.16741661906481603,0.21608649126959908,0.6284435983794453
ml-small,hac,97,10,0.16749256020433917,0.21604867054484406,0.639138055971255
ml-small,hac_W,2,10,0.14900656381639585,0.1963961314451008,0.09469183137385394
ml-small,hac_W,7,10,0.15744303645197272,0.20655207082976013,0.5730358233650368
ml-small,hac_W,12,10,0.16070138924817365,0.21084624248169023,0.5666794734421846
ml-small,hac_W,17,10,0.16341651175353783,0.21416358909060743,0.6215444716031301
ml-small,hac_W,22,10,0.16415395279789888,0.214626087112939,0.6046402776398366
ml-small,hac_W,27,10,0.16485194000265255,0.2150838287605367,0.5884683378064384
ml-small,hac_W,32,10,0.16520800219312654,0.21530086545408836,0.5850980641922352
ml-small,hac_W,37,10,0.1663867270503862,0.21666910067038767,0.6221972624358812
ml-small,hac_W,42,10,0.16666505231840564,0.21681515013492908,0.624376157167376
ml-small,hac_W,47,10,0.16688679829852177,0.21679264999126033,0.6169003481294275
ml-small,hac_W,52,10,0.1671011174602256,0.21686745069730468,0.6167964298147911
ml-small,hac_W,57,10,0.167474606481342,0.21715836047301168,0.6275025270678319
ml-small,hac_W,62,10,0.16803672579782547,0.21774349555851674,0.6385975457826518
ml-small,hac_W,67,10,0.16798480366583574,0.21749446148986196,0.6362216526162598
ml-small,hac_W,72,10,0.1682546852789138,0.21771818881180954,0.6463028994259383
ml-small,hac_W,77,10,0.16837642795347774,0.2177680612491623,0.6559817126950985
ml-small,hac_W,82,10,0.1684163880207196,0.21768480671294502,0.6643515869577618
ml-small,hac_W,87,10,0.16841152321619446,0.21756682567893432,0.6647186306220603
