dataset,method,n_clusters,top_k,nmae,nrmse,entropy
ml-small,gmm,2,10,0.15263593074308832,0.20094036272064925,0.9771541534879082
ml-small,gmm,7,10,0.15808310245596982,0.20785942024896734,0.7144400885826627
ml-small,gmm,12,10,0.15917769521119998,0.20872315703155606,0.6590411672907323
ml-small,gmm,17,10,0.16057059243367075,0.21074447500270188,0.5994782718517395
ml-small,gmm,22,10,0.1595408740637264,0.2091996881305207,0.5763585237462239
ml-small,gmm,27,10,0.16158478433592333,0.21162896684748178,0.576056214402182
ml-small,gmm,32,10,0.16455303783670788,0.21530321466599628,0.5817935487762785
ml-small,gmm,37,10,0.16291100818347332,0.21342431920643917,0.5249284132266285
ml-small,gmm,42,10,0.16110882539627575,0.21071982082461563,0.4988424810112296
ml-small,gmm,47,10,0.16407944297539134,0.21489614316460043,0.59140988860555
ml-small,gmm,52,10,0.1618627494902612,0.2121287228760011,0.49004253840654605
ml-small,gmm,57,10,0.1634825774451442,0.213868691099999,0.4821893414733632
ml-small,gmm,62,10,0.16429008383171975,0.21496676230254158,0.5464879819944366
ml-small,gmm,67,10,0.16598885166859825,0.21682344559738875,0.5432548071915104
ml-small,gmm,72,10,0.16140072515459156,0.21144680274602212,0.45319765421707403
ml-small,gmm,77,10,0.16515830390829364,0.21615053786894683,0.5254201429754314
ml-small,gmm,82,10,0.1655792603900802,0.21663751671832432,0.4959792688431417
ml-small,gmm,87,10,0.1639268486521792,0.21464684191092082,0.48454981402377034
ml-small,gmm,92,10,0.16341670413778048,0.21386424619857744,0.4540055564025603
ml-small,gmm,97,10,0.1629733077200038,0.21354919377205941,0.4422644876101895
ml-1m,gmm,2,10,0.1779937417402321,0.22789922071961155,0.9980549985359145
ml-1m,gmm,7,10,0.18119592176326815,0.2315192977533423,0.9768063288409433
ml-1m,gmm,12,10,0.18220432978790704,0.23296917835066186,0.8600086897873964
ml-1m,gmm,17,10,0.1834288089306066,0.23464018996412803,0.8287189509737489
ml-1m,gmm,22,10,0.1846393786244871,0.23626006336441296,0.8112271982066812
ml-1m,gmm,27,10,0.18478963092706563,0.23650039006613763,0.7836513710851819
ml-1m,gmm,32,10,0.18478565018411935,0.2363736375004914,0.7437584070951511
ml-1m,gmm,37,10,0.1842027623468767,0.23562241046268043,0.6962614820851404
ml-1m,gmm,42,10,0.1859131340476464,0.23802729464091116,0.7424843416971705
ml-1m,gmm,47,10,0.18720742682753339,0.23968706055476066,0.7764121295971995
ml-1m,gmm,52,10,0.18610334567998277,0.23814481750877192,0.6819964818227834
ml-1m,gmm,57,10,0.18575402182599116,0.23769766541295692,0.690584962018876
ml-1m,gmm,62,10,0.18643352597076593,0.23874368390162565,0.6973840242366173
ml-1m,gmm,67,10,0.18628553485996055,0.23841372866277077,0.6911615083555226
ml-1m,gmm,72,10,0.18713423492551168,0.2395082040070807,0.6812411104245706
ml-1m,gmm,77,10,0.1879730937672337,0.24077611684178662,0.69646028257323
ml-1m,gmm,82,10,0.18743162798136997,0.2398443216123856,0.6795014113492311
ml-1m,gmm,87,10,0.1880573878588624,0.24096553559318665,0.675672959640739
ml-1m,gmm,92,10,0.18773029059270221,0.2405234628125988,0.6984217637992168
ml-1m,gmm,97,10,0.18715739806425086,0.23957962009225686,0.6461612072339685
books,gmm,2,10,0.1492068187097839,0.201262825218473,0.9992069397830164
books,gmm,7,10,0.14871684142500716,0.20048390200812066,0.8413518570865481
books,gmm,12,10,0.14762951236115968,0.19891765030887104,0.8160735631606457
books,gmm,17,10,0.14726625736105964,0.19837423212682712,0.7565828611218643
books,gmm,22,10,0.1465237595273077,0.19761925068261327,0.7153000620935227
books,gmm,27,10,0.1461784977666154,0.19709440339024825,0.6794361637341719
books,gmm,32,10,0.14680136704376118,0.19746906579823756,0.6761575823033515
books,gmm,37,10,0.14602777922713767,0.19656602999650313,0.7177936728350482
books,gmm,42,10,0.14635926463958332,0.19730543963802735,0.6580173110436827
books,gmm,47,10,0.14663338504180182,0.19748021668239163,0.650161030524683
books,gmm,52,10,0.14628696769129215,0.1968810108682379,0.6027225584117211
books,gmm,57,10,0.14606271022682557,0.19652653426960476,0.6206507450477748
books,gmm,62,10,0.14634405497053518,0.19704951713372887,0.5870654230022483
books,gmm,67,10,0.14565252703937245,0.1963202878603773,0.5729032728820467
books,gmm,72,10,0.14551648652340393,0.19601817910724692,0.6050090277318422
books,gmm,77,10,0.1455564661340495,0.19577419564605128,0.6005548035836025
books,gmm,82,10,0.14566262130001398,0.19598666543209256,0.6170694317993638
books,gmm,87,10,0.14549073809759702,0.19573943876944394,0.603778216873925
books,gmm,92,10,0.14597106655790162,0.19622435918078576,0.5561072185234155
books,gmm,97,10,0.14550972571881382,0.19579941367421044,0.5758692908444362
jester,gmm,2,10,0.16813783662859022,0.21652058107199035,0.9991534020730114
jester,gmm,7,10,0.1679469667331958,0.21680811474551076,0.9773643742827145
jester,gmm,12,10,0.1681931281643793,0.21694552568387526,0.979027775896473
jester,gmm,17,10,0.16847000322767103,0.2171604290347453,0.9794038991770325
jester,gmm,22,10,0.16850127544546667,0.21728264481548082,0.9785454243432333
jester,gmm,27,10,0.168735799293604,0.21764377186744555,0.9797812536989454
jester,gmm,32,10,0.16893341680473084,0.21778994462549733,0.9817493942489992
jester,gmm,37,10,0.1691038532189704,0.21813268091925136,0.9856668512347756
jester,gmm,42,10,0.16924197515399297,0.21833381616742836,0.9839739930902415
jester,gmm,47,10,0.1694464472266714,0.2185446898646332,0.9843828657870249
jester,gmm,52,10,0.16955692269212702,0.218729854542648,0.9855065104197704
jester,gmm,57,10,0.16956899945950993,0.21882014035896336,0.984294495439579
jester,gmm,62,10,0.16991666500748598,0.21910263176080985,0.9854981183610814
jester,gmm,67,10,0.17000065083384994,0.21930384827681296,0.9813277806800302
jester,gmm,72,10,0.17006390308302002,0.2194015354162781,0.980053859718917
jester,gmm,77,10,0.170233939256647,0.21957052316302775,0.9776301220339004
jester,gmm,82,10,0.17022308844668638,0.21963511779364836,0.9809540375871943
jester,gmm,87,10,0.17046474573980913,0.21987143677282567,0.9807777665490999
jester,gmm,92,10,0.17046888041530503,0.21999134357585812,0.9746090495215329
jester,gmm,97,10,0.17058339251926954,0.2201181699459736,0.9521206359584505
syn,gmm,2,10,0.15068937087875484,0.20452991251350472,0.9894805475975919
syn,gmm,7,10,0.16374149338492008,0.22557109499890854,0.8221499586294498
syn,gmm,12,10,0.16239126284994101,0.22319460737975932,0.6028756008219
syn,gmm,17,10,0.16536315767071416,0.22705558432492806,0.608563218709403
syn,gmm,22,10,0.16895995615175755,0.23222837326154253,0.6453859563986917
syn,gmm,27,10,0.16688990691346034,0.22962695002434358,0.5595872101611906
syn,gmm,32,10,0.17300098354909293,0.2372635602119285,0.6436933734564173
syn,gmm,37,10,0.1679479474488877,0.23104712448174944,0.5234588073913142
syn,gmm,42,10,0.1687865811562474,0.23179773220621955,0.5273919806825118
syn,gmm,47,10,0.1696335141425249,0.23346801213674384,0.537802440944348
syn,gmm,52,10,0.1683530050506512,0.23116679395604206,0.48688153173547627
syn,gmm,57,10,0.16539181710532608,0.22738370049840953,0.4390660617990972
syn,gmm,62,10,0.1719702183091175,0.2355894945015946,0.5004658976755668
syn,gmm,67,10,0.16684270164179926,0.2289900034137105,0.4534456472249625
syn,gmm,72,10,0.16974974855189479,0.23317368509918532,0.46540653184799596
syn,gmm,77,10,0.16767751441441375,0.2305752772934621,0.4206938482312757
syn,gmm,82,10,0.17072858897039322,0.2342189548391454,0.4795772340170766
syn,gmm,87,10,0.1704061959172915,0.23427057987015604,0.4504410447695487
syn,gmm,92,10,0.17364962055133445,0.2380421430328541,0.5037163514952201
syn,gmm,97,10,0.17082590727934488,0.23440831975738963,0.44019680113437953
syn03,gmm,2,10,0.1137805743494349,0.17954311182855004,0.9627584207215181
syn03,gmm,7,10,0.1137805743494349,0.17954311182855004,0.8247107816280643
syn03,gmm,12,10,0.1137805743494349,0.17954311182855004,0.8183636899598621
syn03,gmm,17,10,0.1137805743494349,0.17954311182855004,0.7554741907724056
syn03,gmm,22,10,0.1137805743494349,0.17954311182855004,0.7141456969532204
syn03,gmm,27,10,0.1137805743494349,0.17954311182855004,0.6938755699830378
syn03,gmm,32,10,0.1137805743494349,0.17954311182855004,0.6924096273912508
syn03,gmm,37,10,0.1137805743494349,0.17954311182855004,0.6542912563083367
syn03,gmm,42,10,0.1137805743494349,0.17954311182855004,0.6766538012803861
syn03,gmm,47,10,0.1137805743494349,0.17954311182855004,0.6479243965141284
syn03,gmm,52,10,0.1137805743494349,0.17954311182855004,0.6580840524750553
syn03,gmm,57,10,0.1137805743494349,0.17954311182855004,0.603721066563901
syn03,gmm,62,10,0.1137805743494349,0.17954311182855004,0.6287467332020935
syn03,gmm,67,10,0.1137805743494349,0.17954311182855004,0.6326134104430349
syn03,gmm,72,10,0.1137805743494349,0.17954311182855004,0.6231862089704399
syn03,gmm,77,10,0.1137805743494349,0.17954311182855004,0.594336809577203
syn03,gmm,82,10,0.1137805743494349,0.17954311182855004,0.6007880551913034
syn03,gmm,87,10,0.1137805743494349,0.17954311182855004,0.6084882571895737
syn03,gmm,92,10,0.1137805743494349,0.17954311182855004,0.6002282799723995
syn03,gmm,97,10,0.1137805743494349,0.17954311182855004,0.5742647652507147
syn80,gmm,2,10,0.02008577852482192,0.05414209106924391,0.9634744586654795
syn80,gmm,7,10,0.020472510690119163,0.05407106924503065,0.9100534429097034
