dataset,method,n_clusters,top_k,nmae,nrmse,entropy
ml-small,gmm,2,10,0.15233769584461798,0.20045904370910503,0.9945507645479456
ml-small,gmm,7,10,0.16215188115691,0.21281228372593786,0.8334709654118747
ml-small,gmm,12,10,0.16452102767370674,0.21562246683978786,0.8399327238113589
ml-small,gmm,17,10,0.16586863934893856,0.21711161213373115,0.8493113153723897
ml-small,gmm,22,10,0.16773451723044583,0.2197133407954912,0.8360396766193467
ml-small,gmm,27,10,0.16895174920985684,0.22117223784678114,0.8253855065871477
ml-small,gmm,32,10,0.1690644861686015,0.22132618933316306,0.8201398824305413
ml-small,gmm,37,10,0.17003825342281925,0.22263271811540913,0.820709036124349
ml-small,gmm,42,10,0.17004486869611554,0.22269191925147752,0.8218246819367847
ml-small,gmm,47,10,0.16894692204441553,0.2216622918249497,0.8020029681105058
ml-small,gmm,52,10,0.170201328223468,0.2232043211048468,0.8121244979610045
ml-small,gmm,57,10,0.17049300663973146,0.22366346425467848,0.8145146063085045
ml-small,gmm,62,10,0.1701618499123044,0.2231791344203163,0.8104442785051766
ml-small,gmm,67,10,0.17009802056595474,0.22302318116291503,0.8108400268863167
ml-small,gmm,72,10,0.17014546020455018,0.22309036840571142,0.8079974025245983
ml-small,gmm,77,10,0.16998126737347993,0.22277795217431687,0.8059902627223104
ml-small,gmm,82,10,0.17030253553968427,0.22312812997578613,0.8087175780839513
ml-small,gmm,87,10,0.1702294777185548,0.2229808961481921,0.8069487449431939
ml-small,gmm,92,10,0.17009276907981902,0.22269093621084995,0.8071376582623037
ml-small,gmm,97,10,0.16979205624969812,0.22215961615110108,0.8073430718904666
ml-1m,gmm,2,10,0.1779937417402321,0.22789922071961155,0.9980549985359145
ml-1m,gmm,7,10,0.1802734256403996,0.23030682055434665,0.8347339567524352
ml-1m,gmm,12,10,0.18152250783732013,0.2320078535096412,0.8031319220456072
ml-1m,gmm,17,10,0.1826871987040516,0.2335610423269286,0.7968547973205645
ml-1m,gmm,22,10,0.18303488530308812,0.2340520438953167,0.7562680277306163
ml-1m,gmm,27,10,0.1838444855914369,0.23521628588259907,0.7564258031589259
ml-1m,gmm,32,10,0.18434701836004136,0.2359519239570888,0.7426800772277403
ml-1m,gmm,37,10,0.1849201977938017,0.2366795535888051,0.7319048611257357
ml-1m,gmm,42,10,0.1852153977979108,0.237174618961889,0.7296381860010019
ml-1m,gmm,47,10,0.1855905269442833,0.2376422050459722,0.7264696775896631
ml-1m,gmm,52,10,0.18618232243083851,0.23845826823913016,0.726991020421552
ml-1m,gmm,57,10,0.1866853145410843,0.23930109433847582,0.7318968625383052
ml-1m,gmm,62,10,0.18703339140546657,0.23977480020780906,0.7275781271475397
ml-1m,gmm,67,10,0.1872105366898582,0.23997727253817275,0.7252335803729448
